"Reference","Quantity","Value","Digi-Key Part #"
"C1, C2, ","2","100uF","399-EDH107M016A9GAACT-ND"
"C3, C4, C5, C7, C9, C10, C15, C16, C18, C19, C29, C31, C32, C33, C34, C35, C36, C37, C38, C39, C44, C45, C46, C47, C48, C49, C54, C55, C58, C59, C60, C61, C62, C63, C66, C67, C68, C69, C80, C81, C82, C83, C84, C85, C86, C87, ","46","100nF","478-10836-1-ND"
"C6, C14, ","2","22uF","478-12960-1-ND"
"C8, C17, ","2","1nF","399-9877-1-ND"
"C11, C25, C26, C27, C30, C56, C57, C72, C73, ","9","10uF","478-10836-1-ND"
"C12, C20, ","2","100pF","399-9877-1-ND"
"C13, ","1","10pF","399-9877-1-ND"
"C21, ","1","4.7uF","399-9877-1-ND"
"C22, C23, C24, C28, ","4","680pF","BC2662CT-ND"
"C52, C53, C70, C71, ","4","300p","BC2662CT-ND"
"C64, C65, C74, C75, ","4","30p","BC2662CT-ND"
"C76, C77, C78, C79, ","4","22uF","478-10836-1-ND"
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D17, D18, D19, D20, D21, D22, D23, D24, ","22","1N5819","478-7800-1-ND"
"D15, ","1","1N4148","1N4148VSCT-ND"
"D16, ","1","GREEN LED","732-5007-ND"
"D25, D26, D27, D28, ","4","RED LED","732-5005-ND"
"J1, J2, J3, J4, J5, J7, J8, J9, J10, J11, ","10","3.5mm Jack","WM17366-ND"
"J12, ","1","Eurorack Power Cable","H3CCS-1618G-ND"
"KN1, KN2, KN3, KN4, ","4","Mult Knob","1722-1314-ND"
"KN5, KN6, KN7, KN8, ","4","CV Knob","4654-FC7251-ND"
"N1, N2, N3, N4, ","4","Nut","36-4687-ND"
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R14, R15, R19, R30, R31, R32, R39, R50, R51, R80, R81, ","21","10K","CF14JT10K0CT-ND"
"R11, R16, ","2","100K","CF14JT10K0CT-ND"
"R12, R25, ","2","2K","CRT0805-FZ-1002ELFCT-ND"
"R13, R24, R27, ","3","68K","CF14JT10K0CT-ND"
"R17, ","1","133K","CRT0805-FZ-1002ELFCT-ND"
"R18, ","1","3.83K","CF14JT68K0CT-ND"
"R20, ","1","475K","CRT0805-FZ-1002ELFCT-ND"
"R21, ","1","620","CF14JT68K0CT-ND"
"R22, ","1","200K","CF14JT10K0CT-ND"
"R23, ","1","4.42K","CRT0805-FZ-1002ELFCT-ND"
"R26, ","1","143K","CRT0805-FZ-1002ELFCT-ND"
"R28, R42, R43, R44, R45, R46, R47, R48, R49, ","9","510","CRT0805-FZ-1002ELFCT-ND"
"R29, R33, R35, R37, R40, R52, R54, R82, R84, ","9","27K","CF14JT10K0CT-ND"
"R34, R36, R38, R41, R53, R55, R83, R85, ","8","1.5K","CF14JT10K0CT-ND"
"R56, R62, R86, R91, ","4","162K","CF14JT10K0CT-ND"
"R57, R63, R87, R92, ","4","154K","CF14JT10K0CT-ND"
"R58, R64, R88, R93, ","4","210K","CF14JT10K0CT-ND"
"R59, R65, R89, R94, ","4","300K","CF14JT10K0CT-ND"
"R60, R61, R90, R95, ","4","237K","CF14JT10K0CT-ND"
"R66, R73, R96, R102, ","4","150K","CF14JT10K0CT-ND"
"R67, R74, R97, R103, ","4","174K","CF14JT10K0CT-ND"
"R68, R75, R98, R104, ","4","261K","CF14JT10K0CT-ND"
"R69, R76, R99, R105, ","4","287K","CF14JT10K0CT-ND"
"R70, R72, R100, R106, ","4","191K","CF14JT10K0CT-ND"
"R71, R77, R101, R107, R110, R111, R112, R115, R120, R121, R122, R125, ","12","200K","CF14JT10K0CT-ND"
"R78, R79, R108, R109, ","4","332K","CF14JT10K0CT-ND"
"R113, R116, R123, R126, ","4","20K","CRT0805-FZ-1002ELFCT-ND"
"R114, R117, R124, R127, ","4","180K","RMCF0603FT180KCT-ND"
"R118, R119, R128, R129, ","4","430","CRT0805-FZ-1002ELFCT-ND"
"RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9, ","8","50K","490-2881-ND"
"RV10, RV11, RV14, RV15, ","4","1K","PTV09A-4225F-B102-ND"
"SC1, SC3, SC5, SC7, ","4","Nylon Screw","36-29331-ND"
"SC2, SC4, SC6, SC8, ","4","Mounting Screw","335-1156-ND"
"SO1, SO3, SO5, SO7, ","4","Standoff 12mm","732-13063-ND"
"SO2, SO4, SO6, SO8, ","4","Standoff 15mm","732-13072-ND"
"SW1, SW2, SW3, SW8, ","4","SW_Rotary8","1528-2925-ND"
"SW4, SW5, SW6, SW7, ","4","SW_SPDT","2449-ANT11SF1CQE-ND"
"TP1, TP2, ","2","TestPoint","36-5006-ND"
"U1, U3, U5, U22, U23, U28, U29, U32, U33, ","9","TL072CP","296-1775-5-ND"
"U9, U10, U11, U15, U20, U21, U26, U27, ","8","CD4017","296-12808-1-ND"
"U12, U13, ","2","CD4013","296-24347-1-ND"
"U16, U17, ","2","CD40107","296-31481-1-ND"
"U30, U31, U34, U35, ","4","NSL-32SR3","NSL-32SR3-ND"
