Ref,Val,Package,PosX,PosY,Rot,Side
"D16","GREEN LED","LED_D3.0mm",51.000000,-50.000000,0.000000,top
"D25","RED LED","LED_D3.0mm",107.300000,-114.000000,180.000000,top
"D26","RED LED","LED_D3.0mm",107.300000,-70.000000,180.000000,top
"D27","RED LED","LED_D3.0mm",107.300000,-136.000000,180.000000,top
"D28","RED LED","LED_D3.0mm",107.300000,-92.000000,180.000000,top
"GR1","small_logo","small_face",89.900000,-51.900000,0.000000,top
"J1","3.5mm Jack","Molex-0472570001",45.500000,-50.870000,90.000000,top
"J2","3.5mm Jack","Molex-0472570001",45.500000,-70.870000,90.000000,top
"J3","3.5mm Jack","Molex-0472570001",45.500000,-92.870000,90.000000,top
"J4","3.5mm Jack","Molex-0472570001",45.500000,-114.870000,90.000000,top
"J5","3.5mm Jack","Molex-0472570001",45.500000,-136.870000,90.000000,top
"J7","3.5mm Jack","Molex-0472570001",136.000000,-50.870000,90.000000,top
"J8","3.5mm Jack","Molex-0472570001",136.000000,-114.870000,90.000000,top
"J9","3.5mm Jack","Molex-0472570001",136.000000,-70.870000,90.000000,top
"J10","3.5mm Jack","Molex-0472570001",136.000000,-136.870000,90.000000,top
"J11","3.5mm Jack","Molex-0472570001",136.000000,-92.870000,90.000000,top
"RV10","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",122.000000,-67.500000,180.000000,top
"RV11","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",122.000000,-111.500000,180.000000,top
"RV14","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",122.000000,-89.500000,180.000000,top
"RV15","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",122.000000,-133.500000,180.000000,top
"SW1","SW_Rotary8","CPA_8",59.700000,-92.000000,0.000000,top
"SW2","SW_Rotary8","CPA_8",59.700000,-70.000000,0.000000,top
"SW3","SW_Rotary8","CPA_8",59.700000,-114.000000,0.000000,top
"SW4","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-74.700000,90.000000,top
"SW5","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-118.700000,90.000000,top
"SW6","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-96.700000,90.000000,top
"SW7","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-140.700000,90.000000,top
"SW8","SW_Rotary8","CPA_8",59.700000,-136.000000,0.000000,top
"U30","NSL-32SR3","NSL-32SR3",109.600000,-123.300000,0.000000,top
"U31","NSL-32SR3","NSL-32SR3",109.600000,-79.600000,0.000000,top
"U34","NSL-32SR3","NSL-32SR3",109.600000,-144.600000,0.000000,top
"U35","NSL-32SR3","NSL-32SR3",109.600000,-101.750000,0.000000,top
