Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x5.4_Nichicon",79.637500,-45.200000,90.000000,bottom
"C2","100uF","CP_Elec_6.3x5.4_Nichicon",111.375000,-45.150000,-90.000000,bottom
"C3","20pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",140.400000,-128.950000,-90.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.050000,-56.450000,90.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.562500,-63.600000,180.000000,bottom
"C6","20pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.050000,-75.650000,90.000000,bottom
"C7","220nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.350000,-44.425000,-90.000000,bottom
"C8","330pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",58.450000,-41.375000,0.000000,bottom
"C9","100nF","C_0603_1608Metric",128.000000,-76.200000,90.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",72.250000,-54.700000,90.000000,bottom
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.125000,-54.725000,90.000000,bottom
"C12","2.7nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.000000,-49.750000,0.000000,bottom
"C13","2nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",122.200000,-50.500000,-90.000000,bottom
"C14","2.2uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",64.950000,-63.200000,-90.000000,bottom
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",58.500000,-44.475000,90.000000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",58.375000,-53.900000,90.000000,bottom
"C17","2.7nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.400000,-44.450000,0.000000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.950000,-41.950000,180.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.900000,-56.350000,90.000000,bottom
"C20","270pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.050000,-41.950000,0.000000,bottom
"C21","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.200000,-119.400000,180.000000,bottom
"C22","330pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.350000,-82.100000,-90.000000,bottom
"C23","330pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.500000,-62.550000,-90.000000,bottom
"C24","330pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.550000,-103.750000,-90.000000,bottom
"C25","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.450000,-84.250000,0.000000,bottom
"C26","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.550000,-64.400000,0.000000,bottom
"C27","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.450000,-106.150000,0.000000,bottom
"C28","330pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.550000,-126.200000,-90.000000,bottom
"C29","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.175000,-55.425000,180.000000,bottom
"C30","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.450000,-128.000000,0.000000,bottom
"C31","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.725000,-78.625000,180.000000,bottom
"C32","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.250000,-66.050000,180.000000,bottom
"C33","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.725000,-100.550000,180.000000,bottom
"C34","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.300000,-88.050000,180.000000,bottom
"C35","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.700000,-122.400000,180.000000,bottom
"C36","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.337500,-110.050000,180.000000,bottom
"C37","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.300000,-132.050000,180.000000,bottom
"C38","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",63.150000,-81.450000,90.000000,bottom
"C39","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",63.350000,-125.000000,-90.000000,bottom
"C40","2.2uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",111.800000,-95.000000,0.000000,bottom
"C41","22nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.100000,-93.600000,-90.000000,bottom
"C42","22nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.400000,-86.600000,-90.000000,bottom
"C43","2.2uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",112.700000,-117.200000,0.000000,bottom
"C44","100nF","C_0603_1608Metric",136.300000,-85.250000,180.000000,bottom
"C45","100nF","C_0603_1608Metric",138.100000,-128.200000,180.000000,bottom
"C46","20pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.800000,-129.100000,-90.000000,bottom
"C47","20pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.800000,-86.350000,-90.000000,bottom
"C48","100nF","C_0603_1608Metric",127.500000,-80.100000,90.000000,bottom
"C49","100nF","C_0603_1608Metric",129.400000,-123.550000,180.000000,bottom
"C50","2.2uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",112.600000,-139.950000,0.000000,bottom
"C51","2.2uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.400000,-147.000000,180.000000,bottom
"C52","2.2nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",95.550000,-60.400000,-90.000000,bottom
"C53","2.2nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",95.050000,-108.550000,-90.000000,bottom
