Ref,Val,Package,PosX,PosY,Rot,Side
"D4","RED LED","LED_D3.0mm",128.700000,-51.100000,90.000000,top
"D16","GREEN LED","LED_D3.0mm",52.800000,-51.100000,90.000000,top
"D25","YELLOW LED","LED_D3.0mm",104.450000,-115.270000,90.000000,top
"D26","YELLOW LED","LED_D3.0mm",104.450000,-71.270000,90.000000,top
"D27","YELLOW LED","LED_D3.0mm",104.450000,-137.270000,90.000000,top
"D28","YELLOW LED","LED_D3.0mm",104.450000,-93.270000,90.000000,top
"J1","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",45.400000,-50.000000,0.000000,top
"J2","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",45.400000,-70.000000,0.000000,top
"J3","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",45.400000,-92.000000,0.000000,top
"J4","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",45.400000,-114.000000,0.000000,top
"J5","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",45.400000,-136.000000,0.000000,top
"J7","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",136.000000,-50.000000,0.000000,top
"J8","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",136.000000,-114.000000,0.000000,top
"J9","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",136.000000,-70.000000,0.000000,top
"J10","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",136.000000,-136.000000,0.000000,top
"J11","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",136.000000,-92.000000,0.000000,top
"RV10","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",117.500000,-77.000000,90.000000,top
"RV11","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",117.500000,-121.000000,90.000000,top
"RV14","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",117.500000,-99.000000,90.000000,top
"RV15","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",117.500000,-143.000000,90.000000,top
"SW1","SW_Rotary8","CPA_8",59.900000,-92.000000,0.000000,top
"SW2","SW_Rotary8","CPA_8",59.900000,-70.000000,0.000000,top
"SW3","SW_Rotary8","CPA_8",59.900000,-114.000000,0.000000,top
"SW4","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-74.700000,90.000000,top
"SW5","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-118.700000,90.000000,top
"SW6","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-96.700000,90.000000,top
"SW7","SW_SPDT","Toggle_Switch_100SP1T1B4M2QE",73.300000,-140.700000,90.000000,top
"SW8","SW_Rotary8","CPA_8",59.900000,-136.000000,0.000000,top
"U30","NSL-32SR3","NSL-32SR3",109.600000,-123.700000,0.000000,top
"U31","NSL-32SR3","NSL-32SR3",109.600000,-79.800000,0.000000,top
"U34","NSL-32SR3","NSL-32SR3",129.100000,-130.300000,-90.000000,top
"U35","NSL-32SR3","NSL-32SR3",109.600000,-101.750000,0.000000,top
